import time: self [us] | cumulative | imported package
import time:       198 |        198 |             pyqtgraph.parametertree.parameterTypes.list
import time:       331 |        529 |           pyqtgraph.parametertree.parameterTypes.checklist
import time:       205 |        205 |           pyqtgraph.parametertree.parameterTypes.color
import time:       199 |        199 |             pyqtgraph.widgets.GradientWidget
import time:       189 |        387 |           pyqtgraph.parametertree.parameterTypes.colormap
import time:       225 |        225 |             pyqtgraph.widgets.ColorMapButton
import time:       209 |        434 |           pyqtgraph.parametertree.parameterTypes.colormaplut
import time:       149 |        149 |             pyqtgraph.parametertree.parameterTypes.str
import time:       244 |        392 |           pyqtgraph.parametertree.parameterTypes.file
import time:       194 |        194 |           pyqtgraph.parametertree.parameterTypes.font
import time:       158 |        158 |           pyqtgraph.parametertree.parameterTypes.numeric
import time:       162 |        162 |             pyqtgraph.widgets.PenPreviewLabel
import time:       180 |        180 |             pyqtgraph.parametertree.parameterTypes.qtenum
import time:       347 |        689 |           pyqtgraph.parametertree.parameterTypes.pen
import time:       183 |        183 |           pyqtgraph.parametertree.parameterTypes.progress
import time:       203 |        203 |           pyqtgraph.parametertree.parameterTypes.slider
import time:       170 |        170 |           pyqtgraph.parametertree.parameterTypes.text
import time:       528 |       6054 |         pyqtgraph.parametertree.parameterTypes
import time:       195 |        195 |           pyqtgraph.parametertree.SystemSolver
import time:       205 |        399 |         pyqtgraph.parametertree.ParameterSystem
import time:       342 |        342 |           pyqtgraph.widgets.TreeWidget
import time:       246 |        588 |         pyqtgraph.parametertree.ParameterTree
import time:      1010 |       1010 |             sysconfig
import time:       302 |        302 |             _sysconfigdata__linux_x86_64-linux-gnu
import time:      1819 |       3130 |           pydoc
import time:      1220 |       4350 |         pyqtgraph.parametertree.interactive
import time:       208 |      11596 |       pyqtgraph.parametertree
import time:       380 |      11975 |     pyqtgraph.widgets.ColorMapWidget
import time:       242 |        242 |     pyqtgraph.widgets.ComboBox
import time:       326 |        326 |     pyqtgraph.widgets.DataFilterWidget
import time:       368 |        368 |       pyqtgraph.widgets.TableWidget
import time:        87 |         87 |       metaarray
import time:       217 |        672 |     pyqtgraph.widgets.DataTreeWidget
import time:       187 |        187 |     pyqtgraph.widgets.DiffTreeWidget
import time:       234 |        234 |     pyqtgraph.widgets.FeedbackButton
import time:       177 |        177 |     pyqtgraph.widgets.GraphicsLayoutWidget
